geo_code,indicator_id,indicator_name,value,data_year
WSM,1,Maternal Mortality Ratio,63.63342,2003
WSM,1,Maternal Mortality Ratio,67.01141,2002
WSM,1,Maternal Mortality Ratio,58.18673,2006
WSM,1,Maternal Mortality Ratio,58.50746,2011
WSM,1,Maternal Mortality Ratio,101.27552,1991
WSM,1,Maternal Mortality Ratio,91.37187,1994
WSM,1,Maternal Mortality Ratio,62.36584,2009
WSM,1,Maternal Mortality Ratio,57.27888,2016
WSM,1,Maternal Mortality Ratio,58.51971,2008
WSM,1,Maternal Mortality Ratio,79.96757,1998
WSM,1,Maternal Mortality Ratio,96.55713,1992
WSM,1,Maternal Mortality Ratio,73.35339,2001
WSM,1,Maternal Mortality Ratio,80.7751,1997
WSM,1,Maternal Mortality Ratio,118.21121,1986
WSM,1,Maternal Mortality Ratio,58.28421,2013
WSM,1,Maternal Mortality Ratio,61.5952,2010
WSM,1,Maternal Mortality Ratio,58.08097,2018
WSM,1,Maternal Mortality Ratio,106.41924,1988
WSM,1,Maternal Mortality Ratio,62.07638,2005
WSM,1,Maternal Mortality Ratio,62.81945,2012
WSM,1,Maternal Mortality Ratio,76.07202,1999
WSM,1,Maternal Mortality Ratio,116.42778,1985
WSM,1,Maternal Mortality Ratio,58.0002,2015
WSM,1,Maternal Mortality Ratio,59.07907,2020
WSM,1,Maternal Mortality Ratio,61.68023,2004
WSM,1,Maternal Mortality Ratio,97.98868,1990
WSM,1,Maternal Mortality Ratio,104.17146,1989
WSM,1,Maternal Mortality Ratio,58.59189,2017
WSM,1,Maternal Mortality Ratio,59.79155,2014
WSM,1,Maternal Mortality Ratio,110.61755,1987
WSM,1,Maternal Mortality Ratio,89.83824,1993
WSM,1,Maternal Mortality Ratio,86.92293,1996
WSM,1,Maternal Mortality Ratio,74.52373,2000
WSM,1,Maternal Mortality Ratio,66.35197,2019
WSM,1,Maternal Mortality Ratio,90.17256,1995
WSM,1,Maternal Mortality Ratio,58.66517,2007
MNE,1,Maternal Mortality Ratio,5.81691,2019
MNE,1,Maternal Mortality Ratio,6.17443,2020
MNE,1,Maternal Mortality Ratio,9.61711,2005
MNE,1,Maternal Mortality Ratio,9.46954,2001
MNE,1,Maternal Mortality Ratio,10.685,1985
